gml_id,ust_katego,alt_katego,ad,resim,detay,geojson
bursa_tarihimekanlar.11,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,EMİRSULTAN CAMİİ,"/src/assets/emirsultan.jpg","Emir Sultan Camisi, Bursa’nın doğusunda Uludağ eteklerindeki bir tepenin üzerinde, 15'inci yüzyıl başında, Yıldırım Bayezıt’ın kızı ve Emir Sultan’ın eşi Hundi Hatun tarafından, Emir Sultan’ın vefatı üzerine yaptırılmıştır. 15.20 x 15.20 metre boyutlarında olan ve duvarları kesme taş ve tuğla ile örülen Cami’nin kuzeydoğu ve kuzeybatı köşelerinde kesme taştan iki minaresi bulunmaktadır.","{""type"":""Point"",""coordinates"":[29.081528573,40.182095121]}"
bursa_tarihimekanlar.12,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,EMİRSULTAN TÜRBESİ,"/src/assets/emirsultanturbesi.jpg","Emir Sultan'ın eşi Hundi Fatma Sultan tarafından yaptırılan Emir Sultan Camisi'nin avlusunda bulunan türbe zamanla harap olmuş, Sultan II. Abdülhamid'in şehzadeliği sırasında 1868'de yenilenmiştir. Türbenin sekiz köşeli bir planı olup, üzerini yüksek bir kasnağın taşıdığı kubbe örtmektedir. Camiye bakan pencerelerden biri üzerinde h.1285 (1868) tarihli onarım kitabesi dikkati çekmektedir. İçeride, ortada Sultan Yıldırım Beyazid'in damadı Halveti şeyhi Emir Sultan'ın parmaklıklarla çevrili sandukası, yanında ise oğlu Emir Ali Çelebi ile Hundi Sultan'ın ve iki kızının sandukaları bulunmaktadır.","{""type"":""Point"",""coordinates"":[29.08139666,40.182432417]}"
bursa_tarihimekanlar.13,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,EMİRSULTAN HAMAMI,"/src/assets/emirsultanhamami.jpg","Emir Sultan Hamamı , Yıldırım Beyazıt’ın kızı,Emir Sultan’ın karısı Hindu Sultan tarafından 1426 yılında Bursa’nın Emir Sultan semtinde yaptırılmıştır. Bu hamam Emir Sultan Camii’sinin güneyinde yer almaktadır. Hamam dikdörtgen planındadır fakat soğukluğu karedir.İlk yapıldığında soğukluğun üzerinde kubbe vardır. Fakat daha sonra bu bölüm düz bir çatı haline getirilmiştir.Soğukluktan kare planlı üzeri kubbeli bir bölümden ılıklığa geçilmektedir. Ilıklığın çevresinde iki halvet hücresi ile hela vardır. Buradan da üç eyvanlı ve iki halvetli sıcaklık bölümüne geçilmektedir. Göbek taşının bulunduğu sıcaklığın üzeri de kıvrımlı bir kuşağın bulunduğu bir kasnak ve kubbe ile örtülmüştür.Bu hamam  1622, 1670 ve 1712 yıllarında onarılmıştır.","{""type"":""Point"",""coordinates"":[29.081588387,40.181690933]}"
bursa_tarihimekanlar.14,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,YEŞİL HAMAMI,"/src/assets/yesilhamami.jpg","Yeşil Caddesi üzerinde, türbenin batısında yer alan hamam, bugün yıkılmış bulunan Yeşil Medresesi'ne gelir olarak yaptırılmıştır. Fatih döneminde Sofu Bedreddin, Köse, Türbedar Köse Ali Paşa adları ile anılan bir zat tarafından yaptırılmıştır. Tek hamam sınıfındandır, soğukluk bölümünün üzeri tek kubbe ile örtülüdür. Ortada sekizgen mermer havuz yer alır. Buradan ılıklığın sağında kare bir mekan, solunda ise helalar bulunmaktadır. Ilıklıktan sıcaklık bölümüne geçilir. Duvarların önünde sekiz adet kurna yerleştirilmiştir. Hamamın mülkiyeti şaha aittir. Günümüzde turistlere yönelik hediyelik eşyaların satıldığı iş yeri olarak kullanılmaktadır.","{""type"":""Point"",""coordinates"":[29.074586473,40.182377254]}"
bursa_tarihimekanlar.15,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,HAMZABEY TÜRBESİ,"/src/assets/hamzabeyturbesi.jpg","Hamzabey Camii'nin yanında olan türbe 15. yüzyılda yaptırılmıştır. Sekizgen bir plan üzerine oturtulan yapının duvarları taş ve tuğla ile örülmüştür. Türbede, 1461 yılında yaşamını yitiren Hamza Bey’in mezarı dışında, üzeri sıva ile örtülmüş 12 adet sanduka vardır.","{""type"":""Point"",""coordinates"":[29.041922049,40.193281733]}"
bursa_tarihimekanlar.16,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,ORHANGAZİ TÜRBESİ,"/src/assets/orhangaziturbesi.jpg","Osmangazi’nin oğlu ve Osmanlı Devleti'nin ikinci padişahı olan Sultan Orhan 1281-1362 yılları arasında yaşamıştır. Yaşadığı dönemde Bursa ve çevresini Bizanslılar'dan almış devlet teşkilatlarını oluşturmuş ve il Osmanlı parasını bastırmıştır. Orhangazi Türbesi Hisar Semti'ndeki Tophane Parkı'nda Bursa'nın fethinden önce şehrin metropolit manastırı olarak kullanılan Sainte Elie Manastırı'nın bir bölümü üzerine inşa edilmiştir. Osmangazi Türbesi'nin tam karşısında bulunan türbe Sainte Elie Manastırı'nın zemin mozaikleri üzerine inşa edilmiştir. Kare planlı olarak yapılan türbenin her cephesinde üçer pencere bulunmaktadır. İç duvarları beyaz badanalı olup pencerelerin üzerinde alınlık şeklinde sade süslemeler bulunmaktadır. Ortada kubbenin altında bulunan sanduka Orhangazi'ye aittir. Sanduka’nın etrafı pirinç bir korkuluklarla çevrilmiştir. Sandukanın üstüne kadife kumaş üzerine gümüş sim ile işlenmiş Hz. Muhammed’e ait hadisin yazılı olduğu örtü bulunmaktadır. Türbenin içinde Orhangazi’nin hanımı Nilüfer Hatun, çocukları ve yakınlarının sandukaları bulunmaktadır.","{""type"":""Point"",""coordinates"":[29.058175281,40.187746227]}"
bursa_tarihimekanlar.17,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,APOLYONT HAN,"/src/assets/apolyonthan.jpg","Pirinç Han’ın kuzeyinde yer almaktadır. Apolyont Han’ın adı, Müftü Suyu vakfiyesin­de geçmektedir. İki katlı olup üst katında 16 oda bulunduğu belirtilmektedir. Yıllarca Uluabat(Apolyont) gölüne ulaşım burdan sağlandığından bu ismi almıştır.","{""type"":""Point"",""coordinates"":[29.060493461,40.187366797]}"
bursa_tarihimekanlar.18,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,TUZ HAN,"/src/assets/tuzhan.jpg",Tuz Hanı'nın Tuz Pazarı Camii'ne gelir getirmesi için Timurtaş Paşa'nın oğlu Umur Bey tarafından 1454-1455 yıllarında yaptırıldığı bilinmektedir. Osmanlı Dönemi planına uygun olarak ortada bir avlu ve çevresi 2 katlı revak biçiminde inşa edilmiş olan tarihi yapı, 2007 yılında restore edilerek hizmete açılmıştır.,"{""type"":""Point"",""coordinates"":[29.066121353,40.185432673]}"
bursa_tarihimekanlar.19,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,KÜTAHYA HAN,"/src/assets/kutahyahan.jpg","Tuzpazarı Caddesi'nde bulunan Çukur Han, Sultan II. Murad döneminde Yıldırım Bayezid'in damadı Buharalı Emir Efendi tarafından yaptırılmıştır. Kesme taş ve tuğladan yapılan bu han da diğer hanlar gibi bir avlu çevresinde iki katlı olup, revak ve odalardan oluşmaktaydı, ancak bu handan günümüze gelebilen kısımları, güney tarafındaki zemin kat odalarından üçü ile batıdaki kapı kemeri merdivenleridir.","{""type"":""Point"",""coordinates"":[29.067828827,40.185800861]}"
bursa_tarihimekanlar.21,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,IRGANDI KÖPRÜSÜ,"/src/assets/irgandikoprusu.jpg","Irgandı Köprüsü Boyacı Kulluğu Köprüsü'nün güneyinde bulunmaktadır. Osmanlıların tek arasta köprüsü olan bu taş köprünün, II. Murad zamanında, 1442 yılında, Irgandı Ali oğlu tüccar Hoca Muslihuddin tarafından, Hacı İvaz Paşa’nın vakfiyesinde şahit gösterdiği Abdullah oğlu Timurtaş’a yaptırıldığı düşünülmektedir. Celali ayaklanmalarının ardından, 1640 yılında Bursa’ya gelen Evliya Çelebi'nin Seyahatname’sinde, köprünün üzerinde 200 dükkanın bulunduğu belirtilmekteyse de gerçekte köprü üstünde her iki tarafta 16 adet olmak üzere 32 dükkanın yapılmış olduğu, bunlardan kuzeydoğu ucundakilerden birinin mescide ayrıldığı, köprüyü taşıyan tek kemerin iki yanında ahır ve depoların bulunduğu bilinmektedir.","{""type"":""Point"",""coordinates"":[29.071187044,40.182880855]}"
bursa_tarihimekanlar.22,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,1.MURAT CAMİİ,"/src/assets/1.muratcamii.jpg","Çekirge semtinde, ovaya hakim bir tepenin üzerinde kurulan caminin 1365-1366 yıllarında yapıldığı bilinmektedir. İki katlı olan binanın üst katında 18 odalı bir medrese bulunmaktadır. Cami ile medresenin birlikte yapılması camiye anıtsal bir özellik katmaktadır. Alt katta iki eyvan ve 6 odası bulunmaktadır. Ters T planı ile yapılan caminin orta kubbesinin altında asıl namaz kılınan yer ve yanlarında birer eyvanla odaları vardır. Caminin içinde tam kubbenin altında bir şadırvan bulunmaktadır. Rum bir mimar tarafından yapıldığı bilinen caminin; taş, tuğla ve devşirme malzemelerle örülen duvarları çok kalındır.","{""type"":""Point"",""coordinates"":[29.021525692,40.203506035]}"
bursa_tarihimekanlar.23,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,YENİ KAPLICA,"/src/assets/yenikaplica.jpg","Kanuni Sultan Süleyman'ın Sadrazamı Rüstem Paşa tarafından 1552 yılında yaptırılan Yeni Kaplıca'nın soğukluk kısmı, birbirinden kemerle ayrılan 12 metre çapında iki kurşun kaplı büyük kubbe ile örtülüdür. Tuvaletlerin açıldığı ılıklık kısmının üzerinde ise tek kubbe ve bunun yanında iki yarım kubbe bulunmaktadır. Sıcaklık kısmı, üzeri bir kubbe ile örtülü sekizgen bir yıldız şeklinde olup, yanlardaki eyvanlar birer kemerle orta mekana açılmaktadır. Yeni kaplıca'da sıcaklık kısmının ortasında büyük bir havuz bulunmaktadır. Sıcak su, aslan ağzı şeklinde bir taştan ufak bir havuza, oradan da büyük bir havuza akmaktadır. Aslan ağzının iki tarafı mozaik, bütün duvarlar ise çini kaplıdır. Çini ve kurnalar Timurtaş Paşa Hamamı'ndan satın alınarak kullanılmıştır. Ilıklık ve sıcaklık arasında, havuza çok sıcak su aktığından "Eşek terleten" adı verilmiştir. Kagir binaya sonradan eklenen ahşap binalarda otel odaları yer almaktadır.","{""type"":""Point"",""coordinates"":[29.038924687,40.199841516]}"
bursa_tarihimekanlar.24,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,YILDIRIM BEYAZIT CAMİİ,"/src/assets/yildirimbeyazitcamii.jpg","Yıldırım Külliyesi'nin ortasında yer alan Yıldırım Cami, 14. yüzyılın sonlarında Yıldırım Bayezid tarafından yaptırılmış olup, zengin taş işçiliği ile kentin en dikkat çeken yapılarındandır. "Ters T" planlı camilerin en özgünü olan Yıldırım Cami'nde süsleme olarak, Bursa tipi kemerlerin çok görkemli biçimde uygulandığı görülmektedir. Yıldırım Cami'nde, giriş eyvanına mukabil yanlarda iki oda olup bu odalara dışarıdan da girilmektedir. Ortada arka arkaya iki kubbe, yanlarda birer eyvan ile birer ocaklı ve küçük pencereli oda bulunur. Cami'ye ayrı bir özellik kazandıran Bursa kemerleri, iki ana kubbeyi birbirinden ayıran büyük kemerde ve pencerelerde kullanılmıştır. Merkez kubbe iç mekana ferahlık veren bir yüksekliğe sahiptir.","{""type"":""Point"",""coordinates"":[29.082987264,40.18847724]}"
bursa_tarihimekanlar.25,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,YILDIRIM BEYAZIT TÜRBESİ,"/src/assets/yildirimbeyazitturbesi.jpg","1402 yılında vefat eden Yıldırım Bayezid, önce Akşehir’de Şeyh Mahmut Hayrani Türbesi'ne, sonradan Bursa’ya getirilerek bu türbeye gömülmüştür. Genel olarak dikdörtgen plan şeması gösteren yapı; kare planlı, tonoz geçişli ve dıştan sekizgen kasnaklı kubbeye sahip olan ana bölmesi ile önünde, üzeri üç kubbeye örtülü bir revaktan oluşmaktadır. Osmanlı Mimarisinde ilk revaklı türbedir.","{""type"":""Point"",""coordinates"":[29.082892808,40.18903166]}"
bursa_tarihimekanlar.26,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,ÜFTADE CAMİİ VE TÜRBESİ,"/src/assets/uftade.jpg","Üftade Camisi 1580 yılında vefat ettiği bilinen Üftade Mahmud Muhiddin tarafından yaptırıldıktan sonra 1855 depreminde zarar görmüş, 1869 yılında Serazkar Rıza Paşa tarafından yeniden yaptırılmıştır. Üsttü üç kubbe ile örtülü olan son cemaat yeri önde üç, yanlarda birer kemerle desteklenmiştir. Asıl ibadet alanına giriş kapısı üstünde, mermerden, küçük boy talik harflerle Türkçe yazılmış, 0,75 x 1,20 metre boyutlarında altı satırlık kitabesi vardır. 13 x 13 metre iç ölçülerinde bulunan caminin üzeri kubbe ve tonozla örtülmüştür. Caminin girişinde üç metre derinliğinde bir son cemaat yeri bulunmaktadır. Duvarları kesme taş ve tuğla ile örülmüştür. Cami çeşitli depremlerde yıkıldığı için, torunu İbrahim tarafından yeniden yaptırılmıştır. 1855 yılında büyük kubbe yıkılmış, son cemaat yerinin kubbe ve kemerleri çatlamıştır. Bu dönemde dört ahşap sütun üzerine sekizgen kasnaklı Bağdadi bir kubbe oturtulmuş, yapının beden duvarlarına bağlanan yuvarlak tonoz ve eliptik kemerler inşa edilmiştir. 1869 yılında yeniden inşa ettirilen kare planlı türbe ise Cami’nin doğusunda bulunmaktadır.","{""type"":""Point"",""coordinates"":[29.058242143,40.18392356]}"
bursa_tarihimekanlar.27,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,ESKİ KAPLICA,"/src/assets/eskikaplica.jpg","Bursa’nın en büyük kaplıcalarından biri olan Eski Kaplıca’nın (Armutlu Hamamı olarak da bilinmektedir) inşa edildiği yerde eskiden Bizanslılara ait bir hamam kalıntısı bulunduğu çeşitli kaynaklar tarafından ifade edilmektedir. I. Murat tarafından 1394 yılında çifte hamam olarak yaptırılan binaya, 1511 yılında II. Bayezıt tarafından soğukluk bölümü ekletilmiştir.","{""type"":""Point"",""coordinates"":[29.023799816,40.203322223]}"
bursa_tarihimekanlar.30,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,HARAÇÇIOĞLU MEDRESESİ,"/src/assets/haraccioglu.jpg","Bursa'nın en eski yerleşim yerlerinden Kavaklı Mahallesi'nde tekke iken daha sonra medreseye dönüştürülen bir yapıdır. Medrese 110 metrekarelik bina ve 115 metrekarelik bahçeden oluşur. Haraççıoğlu Medresesi, Bursa'nın en geniş kütüphanesi olan Orhan Kütüphanesi'nden sonra en zengin kütüphanenin bu kütüphane olduğu ifade edilmektedir. Şu an kitapların önemli bir kısmı Bursa İnebey Yazma Eserler Kütüphanesi Müdürlüğü'ndedir. Bu tarihi medrese binası restore edilerek kültür ve sanat etkinliklerinin düzenlendiği sosyal tesis olarak hizmete girmiştir.","{""type"":""Point"",""coordinates"":[29.057695124,40.184776256]}"
bursa_tarihimekanlar.35,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,BEDESTEN,"/src/assets/bedesten.jpg","Yıldırım Bayezid tarafından 14. yüzyılın sonunda yapılmış olup, Osmanlı İmparatorluğu zamanında yapılan ilk bedestendir. Günümüzde bankaların üstlenmiş oldukları paranın ve değerli eşyaların güvenle saklanması görevi o dönemde bedestenler tarafından karşılanmaktaydı. Bankacılığın ve borsacılığın çekirdeğini oluşturan bu yapı, ülkedeki en değerli mallarının alınıp, satıldığı ve kıymetli eşyaların saklandığı bir yer olarak kullanılmıştır. Ulu Cami'den Kapalı Çarşı'ya giden yolun hemen sağındadır. Günümüzde Kuyumcular Çarşısı olarak kullanılmaktadır. Giriş kapısı üzerinde kabartma olarak kufi ve nesih karışımı ile yazılmış Kelime-i Tevhit kitabesi vardır. "Bazestân" yazısı ise batı kapısı üzerinde yer alır. Bugün bedesten içerisinde 32, dışarısında da 68 dükkan bulunur. Bedesten, Bursa'nın Kapalı Çarşı yangını sırasında (1956) yanmış, kullanılamaz hale gelmiş ve 1960 yılında restorasyon geçirmiştir.","{""type"":""Point"",""coordinates"":[29.06246307,40.186121334]}"
bursa_tarihimekanlar.36,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,BAKIRCILAR ÇARŞISI,"/src/assets/bakircilar.jpg","Ulu Cami'nin kuzey batısında, Kapalı Çarşı'nın batısında yer alan çarşı, Bursa'nın eski çarşılarındandır. İlk yapılışından sonra çeşitli dönemlerde (1760,1958 yılları) yaşanan yangınlardan sonra özgün yapısı ortadan kalkan çarşı, aslı göz önüne alınarak yapılmaya gayret edilmiştir. Günümüzde daha çok havlu, kuyumcu ve hazır giyim esnafı tarafından kullanılmaktadır.","{""type"":""Point"",""coordinates"":[29.060839419,40.185603274]}"
bursa_tarihimekanlar.37,KÜLTÜR - TURİZM,TARİHİ KÜLTÜREL MEKANLAR,ÜFTADE TEKKE CAMİİ,"/src/assets/uftadetekkecamii.jpg","Pınarbaşı Semti’nin Güney yamaçlarında bulunan cami, tekke ve müştemilatı, Üftade Mehmet Muhiddin tarafından 1565 yılında yaptırılmıştır. 9,75 x 9,90 metre iç ölçülerinde olan semahanenin üzeri çatı ile örtülüdür. 6,60 x 6,75 metre iç ölçülerindeki caminin üzeri de çatı ile örtülmüştür. Duvarları üç sıra tuğla ve moloz taşıyla örülmüştür. Önceleri caminin üzerinin büyük bir kubbe ile örtülü olduğuna dair bilgiler mevcuttur. Ahşap olan tavanında güzel süslemeler bulunur. Cami içten ve dıştan sıvalıdır.İçinde yedi fırın bulunan imaret halen sağlamdır. Eskiden bu fırınlarda ekmek pişirilir ve halka yemek dağıtılırdı. 1975-77 yılları arasında onarılmıştır. Caminin ahşap kapı ve pencere kapakları oldukça eski olup, üzerlerinde kalem işi süslemeler ve kabartmalar vardır. Tek şerefeli, sivri külahlı bir minaresi vardır.","{""type"":""Point"",""coordinates"":[29.054700173,40.179064989]}"
